source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/com.miui.video.png,com.miui.video,Video,application icon,com.miui.video -> video-display,hyperos icons/apps@2x/scalable/video-display.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.videoplayer.png,com.miui.videoplayer,Videoplayer,application icon,com.miui.videoplayer -> video-display,hyperos icons/apps/scalable/video-display.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.videoplayer.png,com.miui.videoplayer,Videoplayer,application icon,com.miui.videoplayer -> video-display,hyperos icons/apps@2x/scalable/video-display.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.virtualsim.png,com.miui.virtualsim,Virtualsim,application icon,com.miui.virtualsim -> virtualsim,hyperos icons/apps/scalable/virtualsim.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.virtualsim.png,com.miui.virtualsim,Virtualsim,application icon,com.miui.virtualsim -> virtualsim,hyperos icons/apps@2x/scalable/virtualsim.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.voiceassist.png,com.miui.voiceassist,Voiceassist,application icon,com.miui.voiceassist -> voiceassist,hyperos icons/apps/scalable/voiceassist.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.voiceassist.png,com.miui.voiceassist,Voiceassist,application icon,com.miui.voiceassist -> voiceassist,hyperos icons/apps@2x/scalable/voiceassist.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.weather2.png,com.miui.weather2,Weather2,application icon,com.miui.weather2 -> weather-severe-alert,hyperos icons/apps/scalable/weather-severe-alert.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.weather2.png,com.miui.weather2,Weather2,application icon,com.miui.weather2 -> weather-severe-alert,hyperos icons/apps@2x/scalable/weather-severe-alert.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.mlab.cam.png,com.mlab.cam,Cam,application icon,com.mlab.cam -> mlab-cam,hyperos icons/apps/scalable/mlab-cam.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.mlab.cam.png,com.mlab.cam,Cam,application icon,com.mlab.cam -> mlab-cam,hyperos icons/apps@2x/scalable/mlab-cam.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.moonshot.kimichat.png,com.moonshot.kimichat,Kimichat,application icon,com.moonshot.kimichat -> moonshot-kimichat,hyperos icons/apps/scalable/moonshot-kimichat.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.moonshot.kimichat.png,com.moonshot.kimichat,Kimichat,application icon,com.moonshot.kimichat -> moonshot-kimichat,hyperos icons/apps@2x/scalable/moonshot-kimichat.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.mxtech.videoplayer.ad.png,com.mxtech.videoplayer.ad,Ad,application icon,com.mxtech.videoplayer.ad -> mxtech-videoplayer-ad,hyperos icons/apps/scalable/mxtech-videoplayer-ad.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.mxtech.videoplayer.ad.png,com.mxtech.videoplayer.ad,Ad,application icon,com.mxtech.videoplayer.ad -> mxtech-videoplayer-ad,hyperos icons/apps@2x/scalable/mxtech-videoplayer-ad.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.netease.cloudmusic.png,com.netease.cloudmusic,Cloudmusic,application icon,com.netease.cloudmusic -> netease-cloud-music,hyperos icons/apps/scalable/netease-cloud-music.svg,mapped,exists-skip,alias-exists-skip
